Manufacturer & Weapon Type ID,Manufacturer,Weapon Type,Part ID,Part Type,String,Stat
2,Daedalus,Pistol,8,Barrel,DAD_PS.part_barrel_02,"波恩91,714伤害,76%精准度,5.8/s射速"
2,Daedalus,Pistol,9,Manufacturer Part,DAD_PS.part_shield_default,亥伯龙护盾
2,Daedalus,Pistol,10,Manufacturer Part,DAD_PS.part_shield_ricochet,亥伯龙跳弹护盾
2,Daedalus,Pistol,11,Manufacturer Part,DAD_PS.part_shield_ammo,亥伯龙吸收护盾
2,Daedalus,Pistol,12,Manufacturer Part,DAD_PS.part_shield_amp,亥伯龙增强护盾
2,Daedalus,Pistol,13,Magazine,DAD_PS.part_mag_01,"2.0s装填时间,+伤害,16弹容"
2,Daedalus,Pistol,14,Magazine,DAD_PS.part_mag_02,"2.7s装填时间,+伤害,20弹容"
2,Daedalus,Pistol,15,Magazine,DAD_PS.part_mag_03_tor,"2.4s装填时间,+伤害,+精准度,-射速, 12弹容,托格弹匣"
2,Daedalus,Pistol,16,Magazine,DAD_PS.part_mag_04_cov,"3.5s装填时间,+伤害,-精准度,25弹容,密藏之子弹匣"
2,Daedalus,Pistol,17,Magazine,DAD_PS.part_mag_05_borg,"2.1s装填时间,++射速,28弹容,开颅者弹匣"
2,Daedalus,Pistol,18,Manufacturer Part,DAD_PS.part_mag_torgue_normal,托格冲击弹匣
2,Daedalus,Pistol,19,Manufacturer Part,DAD_PS.part_mag_torgue_sticky,托格粘性弹匣
2,Daedalus,Pistol,20,Stat Modifier,DAD_PS.part_mag_ted_thrown_01,2.0s装填时间
2,Daedalus,Pistol,21,Stat Modifier,DAD_PS.part_mag_ted_thrown_02,2.0s装填时间
2,Daedalus,Pistol,22,Stat Modifier,DAD_PS.part_mag_ted_thrown_03_tor,2.0s装填时间
2,Daedalus,Pistol,23,Stat Modifier,DAD_PS.part_mag_ted_thrown_04_cov,3.0s装填时间
2,Daedalus,Pistol,24,Stat Modifier,DAD_PS.part_mag_ted_thrown_05_bor,3.0s装填时间
2,Daedalus,Pistol,25,Scope,DAD_PS.part_scope_ironsight,机瞄
2,Daedalus,Pistol,26,Scope,DAD_PS.part_scope_01_lens_01,瞄准镜 +放大倍率
2,Daedalus,Pistol,27,Scope,DAD_PS.part_scope_01_lens_02,瞄准镜 +放大倍率
2,Daedalus,Pistol,28,Scope,DAD_PS.part_scope_02_lens_01,瞄准镜 ++放大倍率
2,Daedalus,Pistol,29,Scope,DAD_PS.part_scope_02_lens_02,瞄准镜 ++放大倍率
2,Daedalus,Pistol,30,Scope Accessory,DAD_PS.part_scope_acc_s01_l01_a,+伤害
2,Daedalus,Pistol,31,Scope Accessory,DAD_PS.part_scope_acc_s01_l01_b,-装填时间
2,Daedalus,Pistol,32,Scope Accessory,DAD_PS.part_scope_acc_s02_l01_a,无可见属性变化
2,Daedalus,Pistol,33,Scope Accessory,DAD_PS.part_scope_acc_s02_l01_b,+暴击伤害
2,Daedalus,Pistol,34,Scope Accessory,DAD_PS.part_scope_acc_s01_l02_a,+伤害
2,Daedalus,Pistol,35,Scope Accessory,DAD_PS.part_scope_acc_s01_l02_b,-装填时间
2,Daedalus,Pistol,36,Scope Accessory,DAD_PS.part_scope_acc_s02_l02_a,+暴击伤害
2,Daedalus,Pistol,37,Scope Accessory,DAD_PS.part_scope_acc_s02_l02_b,无可见属性变化
2,Daedalus,Pistol,38,Grip,DAD_PS.part_grip_05c_ted_jav,"泰迪尔装填修改组件:标枪,无可见属性变化"
2,Daedalus,Pistol,39,Grip,DAD_PS.part_grip_05a_ted_legs,"泰迪尔装填修改组件:腿部,无可见属性变化"
2,Daedalus,Pistol,40,Grip,DAD_PS.part_grip_05b_ted_homing,"泰迪尔装填修改组件:追踪,无可见属性变化"
2,Daedalus,Pistol,41,Grip,DAD_PS.part_grip_04_hyp,"亥伯龙握把,-精准度,持续射击提升精准度"
2,Daedalus,Pistol,42,Grip,DAD_PS.part_grip_01,+伤害
2,Daedalus,Pistol,43,Grip,DAD_PS.part_grip_02,+射速
2,Daedalus,Pistol,44,Grip,DAD_PS.part_grip_03,-装填时间
2,Daedalus,Pistol,45,Underbarrel,DAD_PS.part_underbarrel_06_malswitch,"马里旺元素切换下挂"
2,Daedalus,Pistol,46,Underbarrel,DAD_PS.part_underbarrel_04_atlas_ball,阿特拉斯追踪手雷
2,Daedalus,Pistol,47,Underbarrel,DAD_PS.part_underbarrel_02_knifelauncher,附属开火-战术刀发射器
2,Daedalus,Pistol,48,Underbarrel,DAD_PS.part_underbarrel_01_taser,附属开火-泰瑟枪
2,Daedalus,Pistol,49,Foregrip,DAD_PS.part_foregrip_02,+射速
2,Daedalus,Pistol,50,Foregrip,DAD_PS.part_foregrip_03,+精准度
2,Daedalus,Pistol,51,Manufacturer Part,DAD_PS.part_body_mag_smg,代达洛斯冲锋枪弹药
2,Daedalus,Pistol,52,Manufacturer Part,DAD_PS.part_body_mag_ar,代达洛斯突击步枪弹药
2,Daedalus,Pistol,53,Manufacturer Part,DAD_PS.part_body_mag_sr,代达洛斯狙击枪弹药
2,Daedalus,Pistol,57,Stat Modifier,DAD_PS.part_mag_05_borg_barrel_02,"1.8s装填时间,-伤害,-射速（搭配17和8）"
2,Daedalus,Pistol,58,Stat Modifier,DAD_PS.part_mag_05_borg_barrel_01,"1.8s装填时间,-伤害,-射速（搭配17和7）"
2,Daedalus,Pistol,60,Barrel Accessory,DAD_PS.part_barrel_01_a,+伤害
2,Daedalus,Pistol,61,Barrel Accessory,DAD_PS.part_barrel_01_b,+精准度
2,Daedalus,Pistol,62,Barrel Accessory,DAD_PS.part_barrel_01_c,+射速
2,Daedalus,Pistol,63,Barrel Accessory,DAD_PS.part_barrel_01_d,+射速
2,Daedalus,Pistol,64,Barrel Accessory,DAD_PS.part_barrel_02_a,+伤害
2,Daedalus,Pistol,65,Barrel Accessory,DAD_PS.part_barrel_02_b,+暴击伤害
2,Daedalus,Pistol,66,Barrel Accessory,DAD_PS.part_barrel_02_c,+精准度
2,Daedalus,Pistol,67,Barrel Accessory,DAD_PS.part_barrel_02_d,+精准度
2,Daedalus,Pistol,68,Manufacturer Part,DAD_PS.part_barrel_licensed_jak,
2,Daedalus,Pistol,69,Manufacturer Part,DAD_PS.part_barrel_licensed_ted,"泰迪尔装填,无可见属性变化"
2,Daedalus,Pistol,70,Manufacturer Part,DAD_PS.part_barrel_licensed_ted_shooting,"泰迪尔射击,无可见属性变化"
2,Daedalus,Pistol,71,Manufacturer Part,DAD_PS.part_barrel_licensed_ted_mirv,"泰迪尔分裂式,无可见属性变化"
2,Daedalus,Pistol,72,Manufacturer Part,DAD_PS.part_barrel_licensed_ted_combo,"泰迪尔组合,无可见属性变化"
2,Daedalus,Pistol,73,Manufacturer Part,DAD_PS.part_barrel_licensed_hyp,"亥伯龙护盾可见附件,无可见属性变化"
2,Daedalus,Pistol,74,Underbarrel,DAD_PS.part_underbarrel_04_atlas,阿特拉斯追踪飞镖
2,Daedalus,Pistol,75,Underbarrel,DAD_PS.part_underbarrel_03_semtex,附属开火-爆破炸药
2,Daedalus,Pistol,76,Foregrip,DAD_PS.part_foregrip_01,+伤害
2,Daedalus,Pistol,77,Manufacturer Part,DAD_PS.part_body_mag_sg,代达洛斯霰弹枪弹药
2,Daedalus,Pistol,78,Barrel,DAD_PS.part_barrel_02_rangefinder,"测距仪,812伤害,85%精准度,5.5/s射速"
8,Daedalus,Shotgun,2,Body,DAD_SG.part_body,"无属性变化，固有部件"
8,Daedalus,Shotgun,3,Body Accessory,DAD_SG.part_body_a,-装填时间
8,Daedalus,Shotgun,4,Body Accessory,DAD_SG.part_body_b,-装填时间
8,Daedalus,Shotgun,5,Body Accessory,DAD_SG.part_body_c,+精准度
8,Daedalus,Shotgun,6,Body Accessory,DAD_SG.part_body_d,无属性变化
8,Daedalus,Shotgun,7,Barrel,DAD_SG.part_barrel_01,"王者之剑,265x6伤害,55%精准度,4.2/s射速"
8,Daedalus,Shotgun,8,Barrel,DAD_SG.part_barrel_02,"圣剑,432x4伤害,65%精准度,3.5/s射速"
8,Daedalus,Shotgun,9,Manufacturer Part,DAD_SG.part_shield_default,亥伯龙护盾
8,Daedalus,Shotgun,10,Manufacturer Part,DAD_SG.part_shield_ricochet,亥伯龙跳弹护盾
8,Daedalus,Shotgun,11,Manufacturer Part,DAD_SG.part_shield_ammo,亥伯龙吸收护盾
8,Daedalus,Shotgun,12,Manufacturer Part,DAD_SG.part_shield_amp,亥伯龙增强护盾
8,Daedalus,Shotgun,13,Magazine,DAD_SG.part_mag_05_borg,"2.1s装填时间,-伤害,+射速,12弹容,开颅者弹匣"
8,Daedalus,Shotgun,14,Magazine,DAD_SG.part_mag_04_cov,"3.5s装填时间,+伤害,-精准度,-装填时间,10弹容,密藏之子弹匣"
8,Daedalus,Shotgun,15,Magazine,DAD_SG.part_mag_03_tor,"2.2s装填时间,+伤害,-装填时间,-射速,6弹容,托格弹匣"
8,Daedalus,Shotgun,16,Magazine,DAD_SG.part_mag_01,"2.0s装填时间,-装填时间,8弹容"
8,Daedalus,Shotgun,17,Magazine,DAD_SG.part_mag_02,"2.4s装填时间,-伤害,+装填时间,10弹容"
8,Daedalus,Shotgun,18,Stat Modifier,DAD_SG.part_mag_ted_thrown_01,2.0s装填时间
8,Daedalus,Shotgun,19,Stat Modifier,DAD_SG.part_mag_ted_thrown_02,2.0s装填时间
8,Daedalus,Shotgun,20,Stat Modifier,DAD_SG.part_mag_ted_thrown_03_tor,2.0s装填时间
8,Daedalus,Shotgun,21,Stat Modifier,DAD_SG.part_mag_ted_thrown_04_cov,3.0s装填时间
8,Daedalus,Shotgun,22,Stat Modifier,DAD_SG.part_mag_ted_thrown_05_bor,3.0s装填时间
8,Daedalus,Shotgun,23,Scope,DAD_SG.part_scope_ironsight,机瞄
8,Daedalus,Shotgun,24,Scope,DAD_SG.part_scope_01_lens_01,瞄准镜 +放大倍率
8,Daedalus,Shotgun,25,Scope,DAD_SG.part_scope_01_lens_02,瞄准镜 +放大倍率
8,Daedalus,Shotgun,26,Scope,DAD_SG.part_scope_02_lens_01,瞄准镜 ++放大倍率
8,Daedalus,Shotgun,27,Scope,DAD_SG.part_scope_02_lens_02,瞄准镜 +++放大倍率
8,Daedalus,Shotgun,28,Scope Accessory,DAD_SG.part_scope_acc_s01_l01_a,+伤害
8,Daedalus,Shotgun,29,Scope Accessory,DAD_SG.part_scope_acc_s01_l01_b,-装填时间
8,Daedalus,Shotgun,30,Scope Accessory,DAD_SG.part_scope_acc_s02_l01_a,无属性变化
8,Daedalus,Shotgun,31,Scope Accessory,DAD_SG.part_scope_acc_s02_l01_b,+暴击伤害
8,Daedalus,Shotgun,32,Scope Accessory,DAD_SG.part_scope_acc_s01_l02_a,+伤害
8,Daedalus,Shotgun,33,Scope Accessory,DAD_SG.part_scope_acc_s01_l02_b,-装填时间
8,Daedalus,Shotgun,34,Scope Accessory,DAD_SG.part_scope_acc_s02_l02_a,无属性变化
8,Daedalus,Shotgun,35,Scope Accessory,DAD_SG.part_scope_acc_s02_l02_b,+暴击伤害
8,Daedalus,Shotgun,36,Grip,DAD_SG.part_grip_05a_ted_legs,"泰迪尔装填修改组件:腿部,无可见属性变化"
8,Daedalus,Shotgun,37,Grip,DAD_SG.part_grip_05c_ted_jav,"泰迪尔装填修改组件:标枪,无可见属性变化"
8,Daedalus,Shotgun,38,Grip,DAD_SG.part_grip_05b_ted_homing,"泰迪尔装填修改组件:追踪,无可见属性变化"
8,Daedalus,Shotgun,39,Grip,DAD_SG.part_grip_01,+伤害
8,Daedalus,Shotgun,40,Grip,DAD_SG.part_grip_02,+射速
8,Daedalus,Shotgun,41,Grip,DAD_SG.part_grip_03,-装填时间
8,Daedalus,Shotgun,42,Grip,DAD_SG.part_grip_04_hyp,"亥伯龙握把,-精准度,持续射击提升精准度"
8,Daedalus,Shotgun,43,Underbarrel,DAD_SG.part_underbarrel_02_singularity,附属开火-重力鱼叉
8,Daedalus,Shotgun,44,Underbarrel,DAD_SG.part_underbarrel_06_malswitch,"马里旺元素切换下挂"
8,Daedalus,Shotgun,45,Underbarrel,DAD_SG.part_underbarrel_01_microrocket,附属开火-微型火箭发射架
8,Daedalus,Shotgun,46,Underbarrel,DAD_SG.part_underbarrel_04_atlas,阿特拉斯追踪飞镖
8,Daedalus,Shotgun,47,Foregrip,DAD_SG.part_foregrip_01,+伤害
8,Daedalus,Shotgun,48,Foregrip,DAD_SG.part_foregrip_03,+精准度
8,Daedalus,Shotgun,49,Foregrip,DAD_SG.part_foregrip_02,+射速
8,Daedalus,Shotgun,50,Underbarrel,DAD_SG.part_underbarrel_03_mine,附属开火-感应地雷发射器
8,Daedalus,Shotgun,51,Underbarrel,DAD_SG.part_underbarrel_04_atlas_ball,阿特拉斯追踪手雷
8,Daedalus,Shotgun,52,Barrel,DAD_SG.part_barrel_01_bod,"生化,265x5伤害,67%精准度,4.2/s射速"
8,Daedalus,Shotgun,54,Barrel,DAD_SG.part_barrel_heartgun,"艾西 梅,265x5伤害,67%精准度,4.2/s射速"
8,Daedalus,Shotgun,56,Underbarrel,DAD_SG.part_underbarrel_01_misslaser,导弹激光附属开火-秘法导弹
8,Daedalus,Shotgun,57,Barrel,DAD_SG.part_barrel_misslaser,"导弹激光,1673伤害,100%精准度,3/s射速"
8,Daedalus,Shotgun,61,Barrel Accessory,DAD_SG.part_barrel_01_a,+伤害
8,Daedalus,Shotgun,62,Barrel Accessory,DAD_SG.part_barrel_01_b,+精准度
8,Daedalus,Shotgun,63,Barrel Accessory,DAD_SG.part_barrel_01_c,+射速
8,Daedalus,Shotgun,64,Barrel Accessory,DAD_SG.part_barrel_01_d,+射速
8,Daedalus,Shotgun,65,Barrel Accessory,DAD_SG.part_barrel_02_a,+伤害
8,Daedalus,Shotgun,66,Barrel Accessory,DAD_SG.part_barrel_02_b,-装填时间
8,Daedalus,Shotgun,67,Barrel Accessory,DAD_SG.part_barrel_02_c,+精准度
8,Daedalus,Shotgun,68,Barrel Accessory,DAD_SG.part_barrel_02_d,+精准度
8,Daedalus,Shotgun,69,Manufacturer Part,DAD_SG.part_barrel_licensed_jak,雅各布斯跳弹
8,Daedalus,Shotgun,70,Manufacturer Part,DAD_SG.part_barrel_licensed_ted,"泰迪尔装填,无可见属性变化"
8,Daedalus,Shotgun,71,Manufacturer Part,DAD_SG.part_barrel_licensed_ted_shooting,"泰迪尔射击,无可见属性变化"
8,Daedalus,Shotgun,72,Manufacturer Part,DAD_SG.part_barrel_licensed_ted_mirv,"泰迪尔分裂式,无可见属性变化"
8,Daedalus,Shotgun,73,Manufacturer Part,DAD_SG.part_barrel_licensed_ted_combo,"泰迪尔组合,无可见属性变化"
8,Daedalus,Shotgun,74,Manufacturer Part,DAD_SG.part_barrel_licensed_hyp,"亥伯龙护盾可见附件,无可见属性变化"
8,Daedalus,Shotgun,75,Manufacturer Part,DAD_SG.part_mag_torgue_normal,托格冲击弹匣
8,Daedalus,Shotgun,76,Manufacturer Part,DAD_SG.part_mag_torgue_sticky,托格粘性弹匣
8,Daedalus,Shotgun,77,Manufacturer Part,DAD_SG.part_body_mag_ps,代达洛斯手枪弹药
8,Daedalus,Shotgun,78,Manufacturer Part,DAD_SG.part_body_mag_smg,代达洛斯冲锋枪弹药
8,Daedalus,Shotgun,79,Manufacturer Part,DAD_SG.part_body_mag_ar,代达洛斯突击步枪弹药
8,Daedalus,Shotgun,80,Manufacturer Part,DAD_SG.part_body_mag_sr,代达洛斯狙击枪弹药
20,Daedalus,SMG,3,Body Accessory,DAD_SM.part_body_a,-装填时间
20,Daedalus,SMG,4,Body Accessory,DAD_SM.part_body_b,-装填时间
20,Daedalus,SMG,5,Body Accessory,DAD_SM.part_body_c,+精准度
20,Daedalus,SMG,6,Body Accessory,DAD_SM.part_body_d,无可见属性变化
20,Daedalus,SMG,7,Barrel,DAD_SM.part_barrel_01,"GCX,658伤害,73%精准度,6.7/s射速"
20,Daedalus,SMG,8,Barrel,DAD_SM.part_barrel_02,"画家,714伤害,74%精准度,6.0/s射速"
20,Daedalus,SMG,9,Manufacturer Part,DAD_SM.part_shield_default,亥伯龙护盾
20,Daedalus,SMG,10,Manufacturer Part,DAD_SM.part_shield_ricochet,亥伯龙跳弹护盾
20,Daedalus,SMG,11,Manufacturer Part,DAD_SM.part_shield_ammo,亥伯龙吸收护盾
20,Daedalus,SMG,12,Manufacturer Part,DAD_SM.part_shield_amp,亥伯龙增强护盾
20,Daedalus,SMG,13,Magazine,DAD_SM.part_mag_01,"2.3s装填时间,22弹容"
20,Daedalus,SMG,14,Magazine,DAD_SM.part_mag_02,"2.6s装填时间,28弹容"
20,Daedalus,SMG,15,Magazine,DAD_SM.part_mag_03_tor,"2.8s装填时间,18弹容"
20,Daedalus,SMG,16,Magazine,DAD_SM.part_mag_04_cov,"4.0s装填时间,34弹容"
20,Daedalus,SMG,17,Magazine,DAD_SM.part_mag_05_borg,"2.1s装填时间,32弹容"
20,Daedalus,SMG,18,Manufacturer Part,DAD_SM.part_mag_torgue_normal,托格冲击弹匣
20,Daedalus,SMG,19,Manufacturer Part,DAD_SM.part_mag_torgue_sticky,托格粘性弹匣
20,Daedalus,SMG,20,Stat Modifier,DAD_SM.part_mag_ted_thrown_01,1.6s装填时间
20,Daedalus,SMG,21,Stat Modifier,DAD_SM.part_mag_ted_thrown_02,1.6s装填时间
20,Daedalus,SMG,22,Stat Modifier,DAD_SM.part_mag_ted_thrown_03_tor,1.6s装填时间
20,Daedalus,SMG,23,Stat Modifier,DAD_SM.part_mag_ted_thrown_04_cov,3.0s装填时间
20,Daedalus,SMG,24,Stat Modifier,DAD_SM.part_mag_ted_thrown_05_bor,3.0s装填时间
20,Daedalus,SMG,25,Scope,DAD_SM.part_scope_02_lens_02,瞄准镜 ++放大倍率
20,Daedalus,SMG,26,Scope,DAD_SM.part_scope_02_lens_01,瞄准镜 ++放大倍率
20,Daedalus,SMG,27,Scope,DAD_SM.part_scope_01_lens_02,瞄准镜 +放大倍率
20,Daedalus,SMG,28,Scope,DAD_SM.part_scope_01_lens_01,瞄准镜 +放大倍率
20,Daedalus,SMG,29,Scope,DAD_SM.part_scope_ironsight,机瞄
20,Daedalus,SMG,30,Scope Accessory,DAD_SM.part_scope_acc_s02_lb_b,+伤害
