Manufacturer & Weapon Type ID,Manufacturer,Weapon Type,Part ID,Part Type,String,Name
2,Daedalus,Pistol,4,Body Accessory,DAD_PS.part_body_b,
2,Daedalus,Pistol,5,Body Accessory,DAD_PS.part_body_c,
2,Daedalus,Pistol,6,Body Accessory,DAD_PS.part_body_d,
2,Daedalus,Pistol,7,Barrel,DAD_PS.part_barrel_01,S23
2,Daedalus,Pistol,8,Barrel,DAD_PS.part_barrel_02,Bonn-91
2,Daedalus,Pistol,9,Manufacturer Part,DAD_PS.part_shield_default,
2,Daedalus,Pistol,10,Manufacturer Part,DAD_PS.part_shield_ricochet,
2,Daedalus,Pistol,11,Manufacturer Part,DAD_PS.part_shield_ammo,
2,Daedalus,Pistol,12,Manufacturer Part,DAD_PS.part_shield_amp,
2,Daedalus,Pistol,13,Magazine,DAD_PS.part_mag_01,
2,Daedalus,Pistol,14,Magazine,DAD_PS.part_mag_02,
2,Daedalus,Pistol,15,Magazine,DAD_PS.part_mag_03_tor,
2,Daedalus,Pistol,16,Magazine,DAD_PS.part_mag_04_cov,
2,Daedalus,Pistol,17,Magazine,DAD_PS.part_mag_05_borg,
2,Daedalus,Pistol,18,Manufacturer Part,DAD_PS.part_mag_torgue_normal,
2,Daedalus,Pistol,19,Manufacturer Part,DAD_PS.part_mag_torgue_sticky,
2,Daedalus,Pistol,20,Tediore Throw Reload,DAD_PS.part_mag_ted_thrown_01,
2,Daedalus,Pistol,21,Tediore Throw Reload,DAD_PS.part_mag_ted_thrown_02,
2,Daedalus,Pistol,22,Tediore Throw Reload,DAD_PS.part_mag_ted_thrown_03_tor,
2,Daedalus,Pistol,23,Tediore Throw Reload,DAD_PS.part_mag_ted_thrown_04_cov,
2,Daedalus,Pistol,24,Tediore Throw Reload,DAD_PS.part_mag_ted_thrown_05_bor,
2,Daedalus,Pistol,25,Scope,DAD_PS.part_scope_ironsight,
2,Daedalus,Pistol,26,Scope,DAD_PS.part_scope_01_lens_01,
2,Daedalus,Pistol,27,Scope,DAD_PS.part_scope_01_lens_02,
2,Daedalus,Pistol,28,Scope,DAD_PS.part_scope_02_lens_01,
2,Daedalus,Pistol,29,Scope,DAD_PS.part_scope_02_lens_02,
2,Daedalus,Pistol,30,Scope Accessory,DAD_PS.part_scope_acc_s01_l01_a,
2,Daedalus,Pistol,31,Scope Accessory,DAD_PS.part_scope_acc_s01_l01_b,
2,Daedalus,Pistol,32,Scope Accessory,DAD_PS.part_scope_acc_s02_l01_a,
2,Daedalus,Pistol,33,Scope Accessory,DAD_PS.part_scope_acc_s02_l01_b,
2,Daedalus,Pistol,34,Scope Accessory,DAD_PS.part_scope_acc_s01_l02_a,
2,Daedalus,Pistol,35,Scope Accessory,DAD_PS.part_scope_acc_s01_l02_b,
2,Daedalus,Pistol,36,Scope Accessory,DAD_PS.part_scope_acc_s02_l02_a,
2,Daedalus,Pistol,37,Scope Accessory,DAD_PS.part_scope_acc_s02_l02_b,
2,Daedalus,Pistol,38,Grip,DAD_PS.part_grip_05c_ted_jav,
2,Daedalus,Pistol,39,Grip,DAD_PS.part_grip_05a_ted_legs,
2,Daedalus,Pistol,40,Grip,DAD_PS.part_grip_05b_ted_homing,
2,Daedalus,Pistol,41,Grip,DAD_PS.part_grip_04_hyp,
2,Daedalus,Pistol,42,Grip,DAD_PS.part_grip_01,
2,Daedalus,Pistol,43,Grip,DAD_PS.part_grip_02,
2,Daedalus,Pistol,44,Grip,DAD_PS.part_grip_03,
2,Daedalus,Pistol,45,Underbarrel,DAD_PS.part_underbarrel_06_malswitch,
2,Daedalus,Pistol,46,Underbarrel,DAD_PS.part_underbarrel_04_atlas_ball,
2,Daedalus,Pistol,47,Underbarrel,DAD_PS.part_underbarrel_02_knifelauncher,
2,Daedalus,Pistol,48,Underbarrel,DAD_PS.part_underbarrel_01_taser,
2,Daedalus,Pistol,49,Foregrip,DAD_PS.part_foregrip_02,
2,Daedalus,Pistol,50,Foregrip,DAD_PS.part_foregrip_03,
2,Daedalus,Pistol,51,Manufacturer Part,DAD_PS.part_body_mag_smg,
2,Daedalus,Pistol,52,Manufacturer Part,DAD_PS.part_body_mag_ar,
2,Daedalus,Pistol,53,Manufacturer Part,DAD_PS.part_body_mag_sr,
2,Daedalus,Pistol,57,Borg Magazine Adapter,DAD_PS.part_mag_05_borg_barrel_02,
2,Daedalus,Pistol,58,Borg Magazine Adapter,DAD_PS.part_mag_05_borg_barrel_01,
2,Daedalus,Pistol,60,Barrel Accessory,DAD_PS.part_barrel_01_a,
2,Daedalus,Pistol,61,Barrel Accessory,DAD_PS.part_barrel_01_b,
2,Daedalus,Pistol,62,Barrel Accessory,DAD_PS.part_barrel_01_c,
2,Daedalus,Pistol,63,Barrel Accessory,DAD_PS.part_barrel_01_d,
2,Daedalus,Pistol,64,Barrel Accessory,DAD_PS.part_barrel_02_a,
2,Daedalus,Pistol,65,Barrel Accessory,DAD_PS.part_barrel_02_b,
2,Daedalus,Pistol,66,Barrel Accessory,DAD_PS.part_barrel_02_c,
2,Daedalus,Pistol,67,Barrel Accessory,DAD_PS.part_barrel_02_d,
2,Daedalus,Pistol,68,Manufacturer Part,DAD_PS.part_barrel_licensed_jak,
2,Daedalus,Pistol,69,Tediore Payload,DAD_PS.part_barrel_licensed_ted,Tediore Throw
2,Daedalus,Pistol,70,Tediore Payload,DAD_PS.part_barrel_licensed_ted_shooting,Tediore Shooting
2,Daedalus,Pistol,71,Tediore Payload,DAD_PS.part_barrel_licensed_ted_mirv,Tediore MIRV
2,Daedalus,Pistol,72,Tediore Payload,DAD_PS.part_barrel_licensed_ted_combo,Tediore Combo
2,Daedalus,Pistol,73,Manufacturer Part,DAD_PS.part_barrel_licensed_hyp,
2,Daedalus,Pistol,74,Underbarrel,DAD_PS.part_underbarrel_04_atlas,
2,Daedalus,Pistol,75,Underbarrel,DAD_PS.part_underbarrel_03_semtex,
2,Daedalus,Pistol,76,Foregrip,DAD_PS.part_foregrip_01,
2,Daedalus,Pistol,77,Manufacturer Part,DAD_PS.part_body_mag_sg,
2,Daedalus,Pistol,78,Barrel,DAD_PS.part_barrel_02_rangefinder,Rangefinder
2,Daedalus,Pistol,79,Barrel,DAD_PS.part_barrel_02_soulsurvivor,Soul Survivor
2,Daedalus,Pistol,82,Manufacturer Part,DAD_PS.part_mag_torgue_normal_soulsurvivor,Soul Survivor
2,Daedalus,Pistol,81,Manufacturer Part,DAD_PS.part_mag_torgue_sticky_soulsurvivor,Soul Survivor
8,Daedalus,Shotgun,2,Body,DAD_SG.part_body,
8,Daedalus,Shotgun,3,Body Accessory,DAD_SG.part_body_a,
8,Daedalus,Shotgun,4,Body Accessory,DAD_SG.part_body_b,
8,Daedalus,Shotgun,5,Body Accessory,DAD_SG.part_body_c,
8,Daedalus,Shotgun,6,Body Accessory,DAD_SG.part_body_d,
8,Daedalus,Shotgun,7,Barrel,DAD_SG.part_barrel_01,Caliburn
8,Daedalus,Shotgun,8,Barrel,DAD_SG.part_barrel_02,Durendal
8,Daedalus,Shotgun,9,Manufacturer Part,DAD_SG.part_shield_default,
8,Daedalus,Shotgun,10,Manufacturer Part,DAD_SG.part_shield_ricochet,
8,Daedalus,Shotgun,11,Manufacturer Part,DAD_SG.part_shield_ammo,
8,Daedalus,Shotgun,12,Manufacturer Part,DAD_SG.part_shield_amp,
8,Daedalus,Shotgun,13,Magazine,DAD_SG.part_mag_05_borg,
8,Daedalus,Shotgun,14,Magazine,DAD_SG.part_mag_04_cov,
8,Daedalus,Shotgun,15,Magazine,DAD_SG.part_mag_03_tor,
8,Daedalus,Shotgun,16,Magazine,DAD_SG.part_mag_01,
8,Daedalus,Shotgun,17,Magazine,DAD_SG.part_mag_02,
8,Daedalus,Shotgun,18,Tediore Throw Reload,DAD_SG.part_mag_ted_thrown_01,
8,Daedalus,Shotgun,19,Tediore Throw Reload,DAD_SG.part_mag_ted_thrown_02,
8,Daedalus,Shotgun,20,Tediore Throw Reload,DAD_SG.part_mag_ted_thrown_03_tor,
8,Daedalus,Shotgun,21,Tediore Throw Reload,DAD_SG.part_mag_ted_thrown_04_cov,
8,Daedalus,Shotgun,22,Tediore Throw Reload,DAD_SG.part_mag_ted_thrown_05_bor,
8,Daedalus,Shotgun,23,Scope,DAD_SG.part_scope_ironsight,
8,Daedalus,Shotgun,24,Scope,DAD_SG.part_scope_01_lens_01,
8,Daedalus,Shotgun,25,Scope,DAD_SG.part_scope_01_lens_02,
8,Daedalus,Shotgun,26,Scope,DAD_SG.part_scope_02_lens_01,
8,Daedalus,Shotgun,27,Scope,DAD_SG.part_scope_02_lens_02,
8,Daedalus,Shotgun,28,Scope Accessory,DAD_SG.part_scope_acc_s01_l01_a,
8,Daedalus,Shotgun,29,Scope Accessory,DAD_SG.part_scope_acc_s01_l01_b,
8,Daedalus,Shotgun,30,Scope Accessory,DAD_SG.part_scope_acc_s02_l01_a,
8,Daedalus,Shotgun,31,Scope Accessory,DAD_SG.part_scope_acc_s02_l01_b,
8,Daedalus,Shotgun,32,Scope Accessory,DAD_SG.part_scope_acc_s01_l02_a,
8,Daedalus,Shotgun,33,Scope Accessory,DAD_SG.part_scope_acc_s01_l02_b,
8,Daedalus,Shotgun,34,Scope Accessory,DAD_SG.part_scope_acc_s02_l02_a,
8,Daedalus,Shotgun,35,Scope Accessory,DAD_SG.part_scope_acc_s02_l02_b,
8,Daedalus,Shotgun,36,Grip,DAD_SG.part_grip_05a_ted_legs,
8,Daedalus,Shotgun,37,Grip,DAD_SG.part_grip_05c_ted_jav,
8,Daedalus,Shotgun,38,Grip,DAD_SG.part_grip_05b_ted_homing,
8,Daedalus,Shotgun,39,Grip,DAD_SG.part_grip_01,
8,Daedalus,Shotgun,40,Grip,DAD_SG.part_grip_02,
8,Daedalus,Shotgun,41,Grip,DAD_SG.part_grip_03,
8,Daedalus,Shotgun,42,Grip,DAD_SG.part_grip_04_hyp,
8,Daedalus,Shotgun,43,Underbarrel,DAD_SG.part_underbarrel_02_singularity,
8,Daedalus,Shotgun,44,Underbarrel,DAD_SG.part_underbarrel_06_malswitch,
8,Daedalus,Shotgun,45,Underbarrel,DAD_SG.part_underbarrel_01_microrocket,
8,Daedalus,Shotgun,46,Underbarrel,DAD_SG.part_underbarrel_04_atlas,
8,Daedalus,Shotgun,47,Foregrip,DAD_SG.part_foregrip_01,
8,Daedalus,Shotgun,48,Foregrip,DAD_SG.part_foregrip_03,
8,Daedalus,Shotgun,49,Foregrip,DAD_SG.part_foregrip_02,
8,Daedalus,Shotgun,50,Underbarrel,DAD_SG.part_underbarrel_03_mine,
8,Daedalus,Shotgun,51,Underbarrel,DAD_SG.part_underbarrel_04_atlas_ball,
8,Daedalus,Shotgun,52,Barrel,DAD_SG.part_barrel_01_bod,Bod
8,Daedalus,Shotgun,54,Barrel,DAD_SG.part_barrel_heartgun,Acey May
8,Daedalus,Shotgun,56,Underbarrel,DAD_SG.part_underbarrel_01_misslaser,Missilaser
8,Daedalus,Shotgun,57,Barrel,DAD_SG.part_barrel_misslaser,Missilaser
8,Daedalus,Shotgun,61,Barrel Accessory,DAD_SG.part_barrel_01_a,
8,Daedalus,Shotgun,62,Barrel Accessory,DAD_SG.part_barrel_01_b,
8,Daedalus,Shotgun,63,Barrel Accessory,DAD_SG.part_barrel_01_c,
8,Daedalus,Shotgun,64,Barrel Accessory,DAD_SG.part_barrel_01_d,
8,Daedalus,Shotgun,65,Barrel Accessory,DAD_SG.part_barrel_02_a,
8,Daedalus,Shotgun,66,Barrel Accessory,DAD_SG.part_barrel_02_b,
8,Daedalus,Shotgun,67,Barrel Accessory,DAD_SG.part_barrel_02_c,
8,Daedalus,Shotgun,68,Barrel Accessory,DAD_SG.part_barrel_02_d,
8,Daedalus,Shotgun,69,Manufacturer Part,DAD_SG.part_barrel_licensed_jak,
8,Daedalus,Shotgun,70,Tediore Payload,DAD_SG.part_barrel_licensed_ted,Tediore Throw
8,Daedalus,Shotgun,71,Tediore Payload,DAD_SG.part_barrel_licensed_ted_shooting,Tediore Shooting
8,Daedalus,Shotgun,72,Tediore Payload,DAD_SG.part_barrel_licensed_ted_mirv,Tediore MIRV
8,Daedalus,Shotgun,73,Tediore Payload,DAD_SG.part_barrel_licensed_ted_combo,Tediore Combo
8,Daedalus,Shotgun,74,Manufacturer Part,DAD_SG.part_barrel_licensed_hyp,
8,Daedalus,Shotgun,75,Manufacturer Part,DAD_SG.part_mag_torgue_normal,
8,Daedalus,Shotgun,76,Manufacturer Part,DAD_SG.part_mag_torgue_sticky,
8,Daedalus,Shotgun,77,Manufacturer Part,DAD_SG.part_body_mag_ps,
8,Daedalus,Shotgun,78,Manufacturer Part,DAD_SG.part_body_mag_smg,
8,Daedalus,Shotgun,79,Manufacturer Part,DAD_SG.part_body_mag_ar,
8,Daedalus,Shotgun,80,Manufacturer Part,DAD_SG.part_body_mag_sr,
8,Daedalus,Shotgun,60,Barrel,DAD_SG.part_barrel_cannonbrawl,Swan Song
8,Daedalus,Shotgun,81,Foregrip,DAD_SG.part_underbarrel_01_cannonbrawl,Swan Song
20,Daedalus,SMG,3,Body Accessory,DAD_SM.part_body_a,
20,Daedalus,SMG,4,Body Accessory,DAD_SM.part_body_b,
20,Daedalus,SMG,5,Body Accessory,DAD_SM.part_body_c,
20,Daedalus,SMG,6,Body Accessory,DAD_SM.part_body_d,
20,Daedalus,SMG,7,Barrel,DAD_SM.part_barrel_01,GCX
20,Daedalus,SMG,8,Barrel,DAD_SM.part_barrel_02,Painter
20,Daedalus,SMG,9,Manufacturer Part,DAD_SM.part_shield_default,
20,Daedalus,SMG,10,Manufacturer Part,DAD_SM.part_shield_ricochet,
20,Daedalus,SMG,11,Manufacturer Part,DAD_SM.part_shield_ammo,
20,Daedalus,SMG,12,Manufacturer Part,DAD_SM.part_shield_amp,
20,Daedalus,SMG,13,Magazine,DAD_SM.part_mag_01,
20,Daedalus,SMG,14,Magazine,DAD_SM.part_mag_02,
20,Daedalus,SMG,15,Magazine,DAD_SM.part_mag_03_tor,
20,Daedalus,SMG,16,Magazine,DAD_SM.part_mag_04_cov,
20,Daedalus,SMG,17,Magazine,DAD_SM.part_mag_05_borg,
20,Daedalus,SMG,18,Manufacturer Part,DAD_SM.part_mag_torgue_normal,
20,Daedalus,SMG,19,Manufacturer Part,DAD_SM.part_mag_torgue_sticky,
20,Daedalus,SMG,20,Tediore Throw Reload,DAD_SM.part_mag_ted_thrown_01,
20,Daedalus,SMG,21,Tediore Throw Reload,DAD_SM.part_mag_ted_thrown_02,
20,Daedalus,SMG,22,Tediore Throw Reload,DAD_SM.part_mag_ted_thrown_03_tor,
20,Daedalus,SMG,23,Tediore Throw Reload,DAD_SM.part_mag_ted_thrown_04_cov,
20,Daedalus,SMG,24,Tediore Throw Reload,DAD_SM.part_mag_ted_thrown_05_bor,
20,Daedalus,SMG,25,Scope,DAD_SM.part_scope_02_lens_02,
20,Daedalus,SMG,26,Scope,DAD_SM.part_scope_02_lens_01,
20,Daedalus,SMG,27,Scope,DAD_SM.part_scope_01_lens_02,
20,Daedalus,SMG,28,Scope,DAD_SM.part_scope_01_lens_01,
20,Daedalus,SMG,29,Scope,DAD_SM.part_scope_ironsight,
20,Daedalus,SMG,30,Scope Accessory,DAD_SM.part_scope_acc_s02_lb_b,
20,Daedalus,SMG,31,Scope Accessory,DAD_SM.part_scope_acc_s02_lb_a,
20,Daedalus,SMG,32,Scope Accessory,DAD_SM.part_scope_acc_s01_l01_a,
20,Daedalus,SMG,33,Scope Accessory,DAD_SM.part_scope_acc_s01_l01_b,
20,Daedalus,SMG,34,Scope Accessory,DAD_SM.part_scope_acc_s01_l02_a,
20,Daedalus,SMG,35,Scope Accessory,DAD_SM.part_scope_acc_s01_l02_b,
20,Daedalus,SMG,36,Scope Accessory,DAD_SM.part_scope_acc_s02_l01_a,
20,Daedalus,SMG,37,Scope Accessory,DAD_SM.part_scope_acc_s02_l01_b,
20,Daedalus,SMG,38,Scope Accessory,DAD_SM.part_scope_acc_s02_l02_a,
20,Daedalus,SMG,39,Scope Accessory,DAD_SM.part_scope_acc_s02_l02_b,
20,Daedalus,SMG,40,Grip,DAD_SM.part_grip_05a_ted_legs,
20,Daedalus,SMG,41,Grip,DAD_SM.part_grip_05c_ted_jav,
20,Daedalus,SMG,42,Grip,DAD_SM.part_grip_05b_ted_homing,
20,Daedalus,SMG,43,Grip,DAD_SM.part_grip_04_hyp,
20,Daedalus,SMG,44,Grip,DAD_SM.part_grip_01,
20,Daedalus,SMG,45,Grip,DAD_SM.part_grip_02,
20,Daedalus,SMG,46,Grip,DAD_SM.part_grip_03,
20,Daedalus,SMG,47,Underbarrel,DAD_SM.part_underbarrel_06_malswitch,
20,Daedalus,SMG,48,Underbarrel,DAD_SM.part_underbarrel_02_shotgun,
20,Daedalus,SMG,49,Underbarrel,DAD_SM.part_underbarrel_03_overcharge,
20,Daedalus,SMG,50,Underbarrel,DAD_SM.part_underbarrel_04_atlas,
20,Daedalus,SMG,51,Foregrip,DAD_SM.part_foregrip_02,
20,Daedalus,SMG,52,Foregrip,DAD_SM.part_foregrip_01,
20,Daedalus,SMG,53,Foregrip,DAD_SM.part_foregrip_03,
20,Daedalus,SMG,54,Underbarrel,DAD_SM.part_underbarrel_04_atlas_ball,
20,Daedalus,SMG,55,Manufacturer Part,DAD_SM.part_body_mag_ps,
20,Daedalus,SMG,56,Manufacturer Part,DAD_SM.part_body_mag_ar,
20,Daedalus,SMG,57,Manufacturer Part,DAD_SM.part_body_mag_sr,
20,Daedalus,SMG,58,Manufacturer Part,DAD_SM.part_body_mag_sg,
20,Daedalus,SMG,60,Barrel,DAD_SM.part_barrel_01_luty,Luty Madlad
20,Daedalus,SMG,62,Body,DAD_SM.part_body,
20,Daedalus,SMG,64,Barrel,DAD_SM.part_barrel_01_bloodstarved,Darkbeast
20,Daedalus,SMG,66,Borg Magazine Adapter,DAD_SM.part_mag_borg_barrel_02,
20,Daedalus,SMG,67,Borg Magazine Adapter,DAD_SM.part_mag_borg_barrel_01,
20,Daedalus,SMG,69,Barrel,DAD_SM.part_barrel_01_loarmaster,Daedalus SMG
20,Daedalus,SMG,79,Underbarrel,DAD_SM.part_underbarrel_01_stungrenade,
20,Daedalus,SMG,80,Barrel Accessory,DAD_SM.part_barrel_01_a,
20,Daedalus,SMG,81,Barrel Accessory,DAD_SM.part_barrel_01_b,
20,Daedalus,SMG,82,Barrel Accessory,DAD_SM.part_barrel_01_c,
20,Daedalus,SMG,83,Barrel Accessory,DAD_SM.part_barrel_01_d,
20,Daedalus,SMG,84,Barrel Accessory,DAD_SM.part_barrel_02_a,
20,Daedalus,SMG,85,Barrel Accessory,DAD_SM.part_barrel_02_b,
20,Daedalus,SMG,86,Barrel Accessory,DAD_SM.part_barrel_02_c,
20,Daedalus,SMG,87,Barrel Accessory,DAD_SM.part_barrel_02_d,
20,Daedalus,SMG,88,Manufacturer Part,DAD_SM.part_barrel_licensed_jak,
20,Daedalus,SMG,89,Tediore Payload,DAD_SM.part_barrel_licensed_ted,Tediore Throw
20,Daedalus,SMG,90,Tediore Payload,DAD_SM.part_barrel_licensed_ted_shooting,Tediore Shooting
20,Daedalus,SMG,91,Tediore Payload,DAD_SM.part_barrel_licensed_ted_mirv,Tediore MIRV
20,Daedalus,SMG,92,Tediore Payload,DAD_SM.part_barrel_licensed_ted_combo,Tediore Combo
20,Daedalus,SMG,93,Manufacturer Part,DAD_SM.part_barrel_licensed_hyp,
20,Daedalus,SMG,1,Barrel,DAD_SM.part_barrel_02_follower,Prowler
20,Daedalus,SMG,71,Barrel,DAD_SM.part_barrel_02_screwed,Screwstonian
20,Daedalus,SMG,59,Barrel,DAD_SM.part_barrel_01_raiden,Raiden
27,Jakobs,Assault Rifle,2,Body,JAK_AR.part_body,
27,Jakobs,Assault Rifle,3,Body Accessory,JAK_AR.part_body_a,
27,Jakobs,Assault Rifle,4,Body Accessory,JAK_AR.part_body_b,
27,Jakobs,Assault Rifle,5,Body Accessory,JAK_AR.part_body_c,
