Skin_ID,Stat,Stat_EN
"cosmetics_weapon_shiny_fearstalker",恐惧追猎者光幻,Fearstalker Phosphen
"cosmetics_weapon_shiny_fishward",鱼群光幻,Fishward Phosphen
"cosmetics_weapon_shiny_flashcyclone",闪电旋风光幻,Flash Cyclone Phosphen
"cosmetics_weapon_shiny_follower",徘徊者光幻,Prowler Phosphen
"cosmetics_weapon_shiny_harddark",黑暗能量光幻,Hard Dark Phosphen
"cosmetics_weapon_shiny_hemorrhage",出血光幻,Hemorrhage Phosphen
"cosmetics_weapon_shiny_inscriber",记录器光幻,Inscriber Phosphen
"cosmetics_weapon_shiny_ishmael",以实玛利光幻,Ishmael Phosphen
"cosmetics_weapon_shiny_lasercutter",激光切割器光幻,Laser-Cutter Phosphen
"cosmetics_weapon_shiny_lightgun",轻型枪械光幻,Light Gun Phosphen
"cosmetics_weapon_shiny_manifest",马歇尔之爪光幻,Marshall's Claw Phosphen
"cosmetics_weapon_shiny_mantra",真言光幻,Mantra Phosphen
"cosmetics_weapon_shiny_misslaser",导弹激光光幻,Missilaser Phosphen
"cosmetics_weapon_shiny_murder",轻柔低语光幻,Murmur Phosphen
"cosmetics_weapon_shiny_rainmaker",造雨师光幻,Rainmaker Phosphen
"cosmetics_weapon_shiny_reminisce",追忆光幻,Reminisce Phosphen
"cosmetics_weapon_shiny_rhythm",韵律光幻,Rhythm Phosphen
"cosmetics_weapon_shiny_roil",激怒光幻,Roil Phosphen
"cosmetics_weapon_shiny_rowdy",暴走骑士光幻,Rowdy Rider Phosphen
"cosmetics_weapon_shiny_scootshoot",疾行射击光幻,Scoot'n'Shoot Phosphen
"cosmetics_weapon_shiny_seamstress",浪子光幻,Rooker Phosphen
"cosmetics_weapon_shiny_shoals",浅滩光幻,Shoals Phosphen
"cosmetics_weapon_shiny_soulsurvivor",灵魂幸存者光幻,Soul Survivor Phosphen
"cosmetics_weapon_shiny_sunspot",太阳黑子光幻,Sunspot Phosphen
"cosmetics_weapon_shiny_unstable",不稳核心光幻,Unstable Kor Phosphen
"cosmetics_weapon_mat63_goldenhoneycomb",妖兽,Hexy Beast
"cosmetics_weapon_mat64_fancysometimes",紫罗兰趋势,Violet Tendencies
"cosmetics_weapon_mat65_acridlandscape",酸雨云,Acid Cloud
"cosmetics_weapon_mat66_techrain",赛博雨,Cyber Rain
"cosmetics_weapon_mat67_oilcamo",隐秘携带,Concealed Carry
"cosmetics_weapon_mat68_bubbles",夺命藤壶,Barna-Kill
"cosmetics_weapon_mat69_empirecamo",鱼鳍统御,Fin Dominance
"cosmetics_weapon_mat70_shinymap",鳗鱼,Unagi
"cosmetics_weapon_shiny_burrow",棱镜光幻,PRISM Phosphen
"cosmetics_weapon_shiny_earlyexcess",过度消耗光幻,Overconsumption Phosphen
"cosmetics_weapon_shiny_extinction",根除光幻,Eradication Phosphen
"cosmetics_weapon_shiny_pchonk",帕琼克光幻,Pachonk Phosphen
"cosmetics_weapon_shiny_plumbbob",铅垂线光幻,Plumb Bob Phosphen
"cosmetics_weapon_shiny_silversliver",银色碎片光幻,Silver Sliver Phosphen
"cosmetics_weapon_shiny_stealth",潜行与追踪光幻,Stealth & Seek Phosphen
"cosmetics_weapon_shiny_verce",诗篇光幻,Verce Phosphen
"cosmetics_weapon_mat71_corroded",锈蚀工艺,Rusticulated
"cosmetics_weapon_mat72_destroyer",超级武器,Superweapon
"cosmetics_weapon_mat73_odyssey",水道海滩,Beaches of Aquator
"cosmetics_weapon_mat74_blackhole",大撕裂,The Big Rip
"cosmetics_weapon_mat75_nasa",轨道金辉,Orbital Aurum
"cosmetics_weapon_mat76_managerial",管理经营,Managerial
"cosmetics_weapon_mat77_jungler",丛林勇士,Jungler
"cosmetics_weapon_mat78_miaculpa",失踪之罪,MIA Culpa
"cosmetics_weapon_mat79_chewedup",细细嚼碎,Chewed Up
"cosmetics_weapon_mat80_electified",神选者化,Electi-Fied
"cosmetics_weapon_mat81_harmonious",和谐融洽,Harmonious
"cosmetics_weapon_mat82_grasslands",本地风情,Local Flavor
"cosmetics_weapon_mat83_gravitar",商品线,Merch Line
"cosmetics_weapon_mat84_exosoldier",新喷漆,Fresh Spray
"cosmetics_weapon_mat85_paladin",尽数清点,Tally Them All
"cosmetics_weapon_mat86_ripper",女王之命,Queen's Demand
"cosmetics_weapon_mat87_darksiren",坎坷成长,Troubled Upbringing
"cosmetics_weapon_mat88_shatterlandv1",碎裂波,Shatterwave
"cosmetics_weapon_mat89_mountain",凶兆,Bad Augury
"cosmetics_weapon_mat90_cityorder",电蚀刻,Electric Etch
"cosmetics_weapon_mat91_shatterlandv2",波形坍缩,Wave Collapse
"cosmetics_weapon_mat92_stingray",冰封,Frozen Over
"cosmetics_weapon_shiny_accretion",蜜月期光幻,Honeymooner Phosphen
"cosmetics_weapon_shiny_aerodramatic",空中戏剧光幻,AeroDramatic Phosphen
"cosmetics_weapon_shiny_assembler",追忆光幻,Reminisce Phosphen
"cosmetics_weapon_shiny_aura",淬炼精髓光幻,Tempered Essence Phosphen
"cosmetics_weapon_shiny_avarice",贪婪光幻,Avarice Phosphen
"cosmetics_weapon_shiny_blackout",护盾泛滥光幻,Shield Overflow Phosphen
"cosmetics_weapon_shiny_clarity",克拉里蒂光幻,Clarity Phosphen
"cosmetics_weapon_shiny_devourer",造雨师光幻,Rainmaker Phosphen
"cosmetics_weapon_shiny_enumeration",枚举光幻,Enumeration Phosphen
"cosmetics_weapon_shiny_exhibition",展览光幻,Exhibition Phosphen
"cosmetics_weapon_shiny_flashfuel",闪光燃料光幻,Flash Fuel Phosphen
"cosmetics_weapon_shiny_fourier",傅里叶综合症光幻,Fourier's Malady Phosphen
"cosmetics_weapon_shiny_handfrag",破片手雷光幻,Hand Frag Phosphen
"cosmetics_weapon_shiny_hippogun",河马枪光幻,Hippo Gun Phosphen
"cosmetics_weapon_shiny_hotmod",失恋者光幻,Lovelorn Phosphen
"cosmetics_weapon_shiny_infection",感染光幻,Infection Phosphen
"cosmetics_weapon_shiny_outback",风中飘舞光幻,Wind Skimmer Phosphen
"cosmetics_weapon_shiny_petanque",地滚球光幻,Petanque Phosphen
"cosmetics_weapon_shiny_pragmate",务实光幻,Pragmate Phosphen
"cosmetics_weapon_shiny_relay",惊奇者光幻,Astonisher Phosphen
"cosmetics_weapon_shiny_ripple",涟漪光幻,Ripple Phosphen
"cosmetics_weapon_shiny_shardenfreude",碎片狂欢光幻,Shardenfreude Phosphen
"cosmetics_weapon_shiny_sledge",暴击衰减光幻,Critical Decay Phosphen
"cosmetics_weapon_shiny_triplicate",三重复制光幻,Triplicate Phosphen
