Manufacturer ID,Part_ID,Part_type,Stat_ZH,Stat_EN,Description_ZH,Description_EN
272,8,Rarity,Legendary,Legendary,蜂群皮肤,Swarm skin
272,9,Legendary Perk,,,,
272,10,Rarity,Legendary,Legendary,乔穆尔基皮肤,Chaumurky skin
272,11,Legendary Perk,,,,
272,12,Rarity,Legendary,Legendary,骷髅皮肤,Skully skin
278,1,Perk,,,,
278,2,Perk,开颅者,Skullcracker,手雷会传送至目的地,Grenade teleports to destination
278,3,Perk,,,,
278,4,Rarity,Common,Common,,
278,5,Rarity,Uncommon,Uncommon,,
278,6,Rarity,Rare,Rare,,
278,7,Rarity,Epic,Epic,,
278,8,Rarity,Legendary,Legendary,金皮肤,Gold skin
278,9,Rarity,Legendary,Legendary,果冻皮肤,Jelly skin
278,10,Legendary Perk,,,,
278,11,Legendary Perk,,,,
278,12,Rarity,Legendary,Legendary,浮标皮肤,Buoy skin
278,13,Perk,,,,
278,16,Legendary Perk,,,,
278,17,Rarity,Legendary,Legendary,火炮球体皮肤,Artillery Sphere Skin
291,1,Rarity,Common,Common,,
291,2,Rarity,Uncommon,Uncommon,,
291,3,Rarity,Rare,Rare,,
291,4,Rarity,Epic,Epic,,
291,5,Rarity,Legendary,Legendary,金皮肤,Gold skin
291,6,Legendary Perk,,,,
291,7,Rarity,Legendary,Legendary,一鸣惊人皮肤,Blockbuster skin
291,8,Legendary Perk,,,,
291,9,Rarity,Legendary,Legendary,瀑布皮肤,Waterfall skin
291,10,Perk,弗拉多夫,Vladof,撞击时手雷爆炸,Grenade explodes on impact
291,11,Legendary Perk,,,,
291,12,Rarity,Legendary,Legendary,芭芭拉皮肤,Barb'ara skin
298,1,Rarity,Common,Common,,
298,2,Rarity,Uncommon,Uncommon,,
298,3,Rarity,Rare,Rare,,
298,4,Rarity,Epic,Epic,,
298,5,Rarity,Legendary,Legendary,金皮肤,Gold skin
298,6,Legendary Perk,,,,
298,7,Rarity,Legendary,Legendary,火锅皮肤,Firepot skin
298,8,Legendary Perk,,,,
298,9,Rarity,Legendary,Legendary,滑溜溜皮肤,Slippy skin
298,10,Perk,托格,Torgue,撞击敌人时手雷爆炸,Grenade explodes on impacting enemy
298,11,Legendary Perk,,,,
298,12,Rarity,Legendary,Legendary,反制措施皮肤,Countermeasure Skin
311,1,Rarity,Common,Common,,
311,2,Rarity,Uncommon,Uncommon,,
311,3,Rarity,Rare,Rare,,
311,4,Rarity,Epic,Epic,,
311,5,Rarity,Legendary,Legendary,金皮肤,Gold skin
311,6,Legendary Perk,,,,
311,7,Rarity,Legendary,Legendary,雷管故障皮肤,Faulty Detonator skin
311,8,Legendary Perk,,,,
311,9,Rarity,Legendary,Legendary,无人机皮肤,UAV skin
311,10,Perk,泰迪尔,Tediore,轻按两次远程引爆投掷的手雷,Double tap to remotely detonate thrown grenades
311,11,Legendary Perk,,,,
311,12,Rarity,Legendary,Legendary,海胆皮肤,Urchin skin
311,13,Rarity,Legendary,Legendary,条例皮肤,Ordinance Skin
311,14,Legendary Perk,,,,
