Grenade_perk_main_ID,Part_ID,Part_type,Stat_ZH,Stat_EN
245,72,Perk,爆炸-手雷伤害提升+21%,Explosive - Grenade Damage is increased by 13%
245,73,Perk,膨胀-手雷伤害半径增加+41%,Expansive - Grenade Damage Radius is increased by +25%
245,74,Perk,有害物质-手雷状态效果率提升+17%，手雷状态效果伤害提升+33%,Hazardous - Grenade Status Effect Chance is increased by +10% and Greande Status Effect Damage is increased by +20%
245,75,Perk,严苛-手雷有25%几率造成暴击,Exacting - Grenade has a 15% Chance to deal Critical Damage
245,76,Perk,核弹-手雷伤害提升+31%，手雷伤害半径增加+62%，手雷冷却时间增加+25%,"Nuke - Grenade Damage is Increased by 19% Grenade Damage Radius is increased by 38%, and Grenade Cooldown Duration is increased by +25%"
245,77,Perk,震荡-击退力提升+83%,Concussive - Knockback Force is increased by +50%
245,78,Perk,嗜血-手雷吸血增加17%,Bloodthirsty - Grenade Lifesteal is increased by 10%
245,79,Perk,无情-手雷暴击伤害提升+83%,Merciless - Grenade Critical Damage is increased by +50%
245,80,Perk,绝命-手雷伤害提升+41%，手雷射弹速度降低-50%,"Lethal - Grenade Damage is increased by 25%, and Grenade Projectile Speed is reduced by -50%"
245,81,Perk,宽载-伤害半径增加+62%，追踪转向速率降低33%,"Wideload - Damage Radius is increased by 38%, Homing Turn Rate reduced by -33%"
245,87,Firmware,风险启用,Risky Boots
245,88,Firmware,技能工艺,Skillcraft
245,89,Firmware,主动开火,Active Fire
245,90,Firmware,重击者,Bruiser
