Manufacturer ID,Part_ID,Part_type,Stat_ZH,Stat_EN,Description_ZH,Description_EN
293,12,Legendary Perk,欧米伽,Omega,能量护盾启动时，每秒恢复7041生命值,"When energy shields are active, regenerates 7041 Health/s"
300,1,Rarity,Common,Common,,
300,2,Rarity,Uncommon,Uncommon,,
300,3,Rarity,Rare,Rare,,
300,4,Rarity,Epic,Epic,,
300,5,Rarity,Legendary,Legendary,金皮肤,Gold skin
300,6,Legendary Perk,短路,Short Circuit,能量护盾未满时，会周期性电击附近敌人,Periodically shocks nearby enemies while Energy Shield is not full
300,7,Rarity,Legendary,Legendary,电光护盾皮肤,Sparky Shield skin
300,8,Legendary Perk,超强护盾吞噬者,Overshield Eater,启用能量护盾时，被击中的敌人有12%几率掉落超强护盾。如拥有超强护盾，获得+25%电击伤害,"When Energy Shield is active, damaged enemies have a 12% chance to drop Overshield. While you have Overshield, gain +25% Shock Damage"
300,9,Rarity,Legendary,Legendary,通电晚餐皮肤,Watts 4 Dinner skin
300,10,Model,/,/,,
300,11,Legendary Perk,后门,Backdoor,能量护盾破裂时，对3名敌人触发星爆并造成5577伤害,"When Energy Shield breaks, trigger a Star Burst on 3 enemies dealing 5577 Damage"
300,12,Rarity,Legendary,Legendary,防火线皮肤,Firebreak skin
300,13,Legendary Perk,蜂群,Swarm,"能量护盾破裂时，成杀戮无人机冲向附近敌人，造成6320伤害并恢复15%护盾。护盾全满时，杀戮无人机会再次冲击","When breaks, spawn that charge a nearby enemy, deal 6320 damage and restore 15% shield. recharge while is full."
300,14,Rarity,Legendary,Legendary,蜂群过境皮肤,Over Swarm Skin
306,1,Rarity,Common,Common,,
306,2,Rarity,Uncommon,Uncommon,,
306,3,Rarity,Rare,Rare,,
306,4,Rarity,Epic,Epic,,
306,5,Rarity,Legendary,Legendary,金皮肤,Gold skin
306,6,Rarity,Legendary,Legendary,陈年橡木桶皮肤,Aged Cask skin
306,7,Legendary Perk,老式复古,Vintage,仅有一格护甲,Has only 1 Armor Segment
306,8,Legendary Perk,葱皮,Shallot Shell,护甲段破裂时，获得2秒伤害免疫,Gain 2 seconds of Damage Immunity when an Armor Segment breaks
306,9,Rarity,Legendary,Legendary,洋葱皮肤,Onion skin
306,10,Model,/,/,,
312,1,Rarity,Common,Common,,
312,2,Rarity,Uncommon,Uncommon,,
312,3,Rarity,Rare,Rare,,
312,4,Rarity,Epic,Epic,,
312,5,Rarity,Legendary,Legendary,金皮肤,Gold skin
312,6,Legendary Perk,恩典之翼,Wings of Grace,装备后，在殊死一搏状态下可更快复活。当殊死一搏时间耗尽时，每300秒免费获得1次卷土重来,"While equipped, revive faster in Fight For Your Life. Automatically gain a Second Wind when FFYL time expires (300s cooldown)"
312,7,Rarity,Legendary,Legendary,守护天使皮肤,Guardian Angel skin
312,8,Legendary Perk,优势局面,Power Play,当能量护盾填充时，获得超强护盾。当能量护盾全满时，获得25%射速、25%移动速度，同时每秒恢复1弹药,"Gain Overshield when Energy Shield fills. When Energy Shield is full, gain +25% Fire Rate, +25% Movement Speed, and regenerate 1 Ammo/s"
312,9,Rarity,Legendary,Legendary,超级士兵皮肤,Super Soldier skin
312,10,Model,/,/,,
312,11,Rarity,Legendary,Legendary,蜜獾皮肤,Honey Badger skin
312,12,Legendary Perk,凶猛,Ferocity,启用护盾时自我伤害降低90%,Reduces self-Damage dealt by 90% while Shield is active
321,1,Rarity,Common,Common,,
321,2,Rarity,Uncommon,Uncommon,,
321,3,Rarity,Rare,Rare,,
321,4,Rarity,Epic,Epic,,
321,5,Rarity,Legendary,Legendary,金皮肤,Gold skin
321,6,Legendary Perk,捆绑,Bundled,击杀时生成导弹，自动追踪附近敌人，每枚造成7436伤害,"On kill, spawn Missiles that home in on nearby enemies, dealing 7436 Damage each"
321,7,Rarity,Legendary,Legendary,烟火表演皮肤,Firewerks skin
321,8,Rarity,Legendary,Legendary,完成皮肤,Compleation skin
321,9,Legendary Perk,西西弗斯式,Sisyphusian,护甲护盾全满时，立刻失去一个护甲段,Immediately lose an Armor Segment when Armor Shield becomes full
321,10,Model,/,/,,
