Repkit_perk_main_ID,Part_ID,Part_type,Stat_ZH,Stat_EN,Description_ZH,Description_EN
243,66,Perk,教团,Order,该修复套件拥有2个能量点（仅在教团针上生效）,The Repkit have 2 Repkit Charge(Only in Order)
243,67,Perk,速度,Speed,使用时移动速度增加+40%，持续8秒,+40% Movement Speed for 8s
243,68,Perk,G型神器,Go Go Gadget,使用时炮械冷却速率提升+50%，持续8秒,+50% Ordnance Cooldown Rate for 8s
243,69,Perk,强力打击者,Hard Hitter,使用时造成的近战伤害提升+50%，持续8秒,+50% Melee Damage for 8s
243,70,Perk,药物过量,Overdose,使用时受到的所有治疗量提升+45%，持续8秒,+45% All Healing Recieved for 8s
243,71,Perk,射速,Fire Rate,使用时射速提升+15%，持续8秒,+15% Fire Rate for 8s
243,73,Perk,增强,Amp,使用时下一次射击提升+200%伤害,+200% Damage for next shot
243,74,Perk,修复套件冷却,Repkit Cooling,修复套件的冷却时间减少-33%,-33% Repkit Cooldown Duration
243,75,Perk,医护兵,Medic,使用时，附近友方获得来自修复套件治疗量50%的治疗,Heals nearby allies for 50% of the healing amount
243,77,Perk,超强护盾,Overshield,使用时不进行治疗，而是获得数值等同于修复套件初始治疗量的超强护盾,Overshield of initial heal amount instead of healing
243,79,Perk,生命大爆发,Health Burst,使用时，在8秒后获得一次额外爆发，数值等同于修复套件初始治疗量的50%,Additional burst of 50% of initial value after 8s
243,80,Perk,能量循环,Power Cycle,使用时立即为装备的能量护盾充能,Instantly start recharging Energy Shield
243,81,Perk,吸血,Leech,使用时获得30%吸血，持续8秒,30% Lifesteal for 8s
243,82,Perk,坦克,Tank,使用时受到的伤害减少-50%，持续8秒,-50% Damage Taken for 8s
243,83,Perk,永恒,Everlasting,修复套件的治疗容量和持续时间增加+20%,+20% Capacity and Duration
243,84,Perk,激怒,Enrage,使用时造成的所有伤害提升+30%，受到的所有伤害提升+15%，持续8秒,"+30% Damage Dealt, +15% Damage Taken for 8s"
243,85,Perk,加速器,Accelerator,使用时主动技能冷却速率提升+100%，持续8秒,+100% Action Skill Cooldown Rate for 8s
243,86,Perk,元素适配性,Elemental Affinity,使用时造成的元素伤害提升+25%，持续8秒,+25% Elemental Damage for 8s
243,87,Perk,溅射伤害,Splash Damage,使用时造成的溅射伤害提升+25%，持续8秒,+25% Splash Damage for 8s
243,88,Perk,装填速度,Reload Speed,使用时装填速度提升25%，持续8秒,+25% Reload speed for 8s
243,90,Perk,速度,Speed,使用时移动速度增加+40%，持续8秒,+40% Movement Speed for 8s
243,91,Perk,G型神器,Go Go Gadget,使用时炮械冷却速率提升+50%，持续8秒,+50% Ordnance Cooldown Rate for 8s
243,92,Perk,强力打击者,Hard Hitter,使用时造成的近战伤害提升+50%，持续8秒,+50% Melee Damage for 8s
243,93,Perk,药物过量,Overdose,使用时受到的所有治疗量提升+45%，持续8秒,+45% All Healing Recieved for 8s
243,94,Perk,射速,Fire Rate,使用时射速提升+15%，持续8秒,+15% Fire Rate for 8s
243,96,Perk,增强,Amp,使用时下一次射击提升+200%伤害,+200% Damage for next shot
243,97,Perk,修复套件冷却,Repkit Cooling,修复套件的冷却时间减少-33%,-33% Repkit Cooldown Duration
243,98,Model Plus,/,Fire,/,No Stat Changes
243,99,Model Plus,/,Radiation,/,No Stat Changes
243,100,Model Plus,/,Corrosive,/,No Stat Changes
243,101,Model Plus,/,Shock,/,No Stat Changes
243,102,Model Plus,/,Cryo,/,No Stat Changes
243,103,Perfix,小型,Mini,更少回复量&持续回复&更短冷却时间,Lower healing amount and cooldown
243,104,Perfix,标准,Standard,无效果,No Stat Changes
243,105,Perfix,大型,Large,更多回复量&持续回复&更长冷却时间,"More healing, longer cooldown"
243,106,Perfix,兆,Mega,最多回复量&持续回复&最长冷却时间,"Even more healing, even longer cooldown"
243,112,Firmware,风险启用,Risky Boots,,
243,113,Firmware,技能工艺,Skillcraft,,
243,114,Firmware,主动开火,Active Fire,,
243,119,Perk,类固醇狂怒,Roid Rage,使时获得5层类固醇狂怒，该叠加会持续衰减。每次叠加失效时，都会生成腐蚀星爆，造成3122伤害,On use applies 5 stacks of Roid-Rage that decay over time. Each time a stack expires spawn a Repkit Element Nova dealing 3122 damage
